time,open,high,low,close,volume
2023-01-26 19:00:00+00:00,1925.94,1930.24,1925.28,1926.59,11855
2023-01-26 20:00:00+00:00,1926.59,1933.1,1926.39,1929.67,11415
2023-01-26 21:00:00+00:00,1929.67,1931.39,1928.57,1931.12,6761
2023-01-26 22:00:00+00:00,1931.14,1931.26,1929.06,1929.62,6010
2023-01-26 23:00:00+00:00,1929.62,1929.86,1928.6,1929.15,2255
2023-01-27 01:00:00+00:00,1928.5,1931.08,1927.32,1930.71,3149
2023-01-27 02:00:00+00:00,1930.71,1934.81,1930.49,1933.73,5347
2023-01-27 03:00:00+00:00,1933.73,1933.85,1929.56,1930.05,5543
2023-01-27 04:00:00+00:00,1930.06,1931.1,1925.62,1925.72,4707
2023-01-27 05:00:00+00:00,1925.72,1927.75,1923.83,1924.71,5598
2023-01-27 06:00:00+00:00,1924.71,1924.71,1919.7,1921.58,5059
2023-01-27 07:00:00+00:00,1921.58,1925.65,1921.34,1925.05,3243
2023-01-27 08:00:00+00:00,1925.05,1925.83,1922.09,1923.13,4525
2023-01-27 09:00:00+00:00,1923.13,1925.66,1922.1,1923.06,6493
2023-01-27 10:00:00+00:00,1923.06,1925.96,1922.97,1925.83,7952
2023-01-27 11:00:00+00:00,1925.83,1928.2,1924.47,1925.54,6154
2023-01-27 12:00:00+00:00,1925.53,1929.16,1925.12,1928.51,5059
2023-01-27 13:00:00+00:00,1928.51,1931.44,1928.22,1930.18,5425
2023-01-27 14:00:00+00:00,1930.18,1932.33,1927.76,1930.64,5562
2023-01-27 15:00:00+00:00,1930.64,1935.12,1928.39,1928.81,12918
2023-01-27 16:00:00+00:00,1928.81,1931.2,1921.7,1923.5,17247
2023-01-27 17:00:00+00:00,1923.5,1929.06,1916.61,1924.06,20758
2023-01-27 18:00:00+00:00,1924.06,1932.14,1923.81,1929.56,12766
2023-01-27 19:00:00+00:00,1929.56,1930.74,1925.49,1928.51,9667
2023-01-27 20:00:00+00:00,1928.51,1930.95,1928.06,1930.2,6870
2023-01-27 21:00:00+00:00,1930.2,1932.0,1929.8,1929.87,3598
2023-01-27 22:00:00+00:00,1929.87,1930.53,1926.06,1926.54,3808
2023-01-27 23:00:00+00:00,1926.54,1928.88,1926.54,1928.14,2108
2023-01-30 01:00:00+00:00,1926.13,1928.89,1925.43,1928.86,4256
2023-01-30 02:00:00+00:00,1928.86,1929.97,1927.74,1928.6,6466
2023-01-30 03:00:00+00:00,1928.58,1931.06,1924.78,1927.72,13037
2023-01-30 04:00:00+00:00,1927.72,1927.72,1924.89,1926.38,7840
2023-01-30 05:00:00+00:00,1926.38,1926.48,1924.39,1926.26,4834
2023-01-30 06:00:00+00:00,1926.25,1934.43,1926.0,1933.4,11055
2023-01-30 07:00:00+00:00,1933.39,1933.77,1930.35,1931.33,9523
2023-01-30 08:00:00+00:00,1931.33,1932.13,1929.33,1930.97,7341
2023-01-30 09:00:00+00:00,1930.97,1931.79,1923.13,1924.49,11035
2023-01-30 10:00:00+00:00,1924.49,1924.49,1920.61,1923.21,15680
2023-01-30 11:00:00+00:00,1923.21,1925.45,1922.08,1924.65,9995
2023-01-30 12:00:00+00:00,1924.65,1930.74,1924.51,1930.63,9613
2023-01-30 13:00:00+00:00,1930.63,1930.75,1922.02,1923.15,11442
2023-01-30 14:00:00+00:00,1923.15,1926.73,1922.45,1925.99,8996
2023-01-30 15:00:00+00:00,1925.99,1930.35,1924.7,1929.12,15662
